iteration,fitness,cameras,drones,camps,rangers,fence_length,camera_locations,drone_locations,camp_locations
0,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
1,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
2,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
3,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
4,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
5,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
6,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
7,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
8,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
9,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
10,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
11,21.5477932908442,6,3,4,19,50,"[63, 34, 26, 18, 0, 57]","[22, 86, 43]","[38, 49, 84, 9]"
12,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
13,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
14,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
15,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
16,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
17,21.563971892865755,6,3,5,19,50,"[0, 18, 34, 57, 63, 89]","[22, 43, 86]","[9, 17, 38, 49, 84]"
18,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
19,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
20,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
21,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
22,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
23,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
24,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
25,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
26,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
27,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
28,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
29,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
30,21.59449915496939,7,3,4,19,49,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
31,21.59826622150457,8,3,4,19,49,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
32,21.59826622150457,8,3,4,19,49,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
33,21.59826622150457,8,3,4,19,49,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
34,21.61884107671095,7,3,4,19,50,"[0, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
35,21.621765438488286,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
36,21.621765438488286,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
37,21.621765438488286,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
38,21.621765438488286,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
39,21.621765438488286,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
40,21.62347577084431,8,3,5,18,50,"[0, 18, 26, 31, 34, 57, 63, 89]","[25, 43, 58]","[9, 17, 38, 49, 84]"
41,21.62347577084431,8,3,5,18,50,"[0, 18, 26, 31, 34, 57, 63, 89]","[25, 43, 58]","[9, 17, 38, 49, 84]"
42,21.62347577084431,8,3,5,18,50,"[0, 18, 26, 31, 34, 57, 63, 89]","[25, 43, 58]","[9, 17, 38, 49, 84]"
43,21.63300647226998,8,3,4,18,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[19, 43, 86]","[9, 38, 49, 84]"
44,21.63300647226998,8,3,4,18,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[19, 43, 86]","[9, 38, 49, 84]"
45,21.63300647226998,8,3,4,18,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[19, 43, 86]","[9, 38, 49, 84]"
46,21.64649279388448,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
47,21.64649279388448,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
48,21.64649279388448,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
49,21.64649279388448,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
50,21.64649279388448,8,3,4,19,50,"[0, 13, 18, 26, 34, 57, 63, 89]","[22, 43, 86]","[9, 38, 49, 84]"
